"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190101 ~ 20191231"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,300","null","201909","25"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","12,500","null","201909","25"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","11,600","null","201909","26"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.35"," ","9,700","null","201909","27"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","9,400","4","201909","27"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","9,000","null","201910","10"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","12,364","null","201910","21"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","12,700","null","201910","22"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,450","null","201910","24"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,500","null","201910","25"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","10,000","null","201910","29"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","10,000","null","201910","30"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","11,500","null","201911","1"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","9,200","4","201911","13"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.41"," ","13,100","null","201911","19"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","12,500","null","201911","21"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","13,700","null","201912","16"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","10,740","null","201912","24"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.36"," ","9,500","null","201912","26"," ","2016"
"경기도 가평군 설악면 방일리","집합","7**","-","계획관리","숙박","8m미만","10.42"," ","9,500","2","201912","26"," ","2016"
"경기도 가평군 설악면 설곡리","일반","7**","묵안로654번길","계획관리","제2종근린생활","8m미만","169","591.00","21,000","null","201902","24"," ","2009"
"경기도 가평군 설악면 신천리","일반","4**","-","일반상업","제1종근린생활","12m미만","48.4","100.00","22,850","null","201907","16"," ","1953"
"경기도 가평군 설악면 천안리","일반","4**","유명로","계획관리","숙박","12m미만","376.68","600.00","24,000","null","201901","12"," ","2001"
"경기도 가평군 설악면 천안리","일반","4**","-","계획관리","제2종근린생활","12m미만","345.6","952.00","31,800","null","201901","12"," ","1997"
"경기도 가평군 조종면 상판리","일반","1**","명지산로","계획관리","제2종근린생활","8m미만","190.24","761.00","20,000","null","201905","2"," ","1995"
"경기도 가평군 조종면 운악리","일반","4**","현등사길","계획관리","숙박","8m미만","98.73","288.00","27,700","null","201910","10"," ","2016"
"경기도 가평군 조종면 운악리","일반","4**","현등사길","계획관리","숙박","8m미만","98.73","240.00","27,700","null","201910","10"," ","2016"
"경기도 가평군 조종면 운악리","일반","4**","현등사길","계획관리","숙박","8m미만","98.73","269.00","27,700","null","201910","10"," ","2016"
"경기도 가평군 조종면 운악리","일반","4**","현등사길","계획관리","숙박","8m미만","98.73","240.00","22,000","null","201910","10"," ","2016"
"경기도 가평군 조종면 운악리","일반","4**","현등사길","계획관리","제2종근린생활","8m미만","184.24","893.00","30,600","null","201910","21"," ","2005"
"경기도 가평군 조종면 운악리","일반","4**","현등사길","계획관리","숙박","8m미만","126.82","303.00","26,400","null","201911","7"," ","2016"
"경기도 가평군 조종면 운악리","일반","4**","현등사길","계획관리","숙박","8m미만","126.82","303.00","26,500","null","201911","7"," ","2016"
"경기도 가평군 조종면 운악리","일반","4**","현등사길","계획관리","숙박","8m미만","98.73","340.00","24,400","null","201911","7"," ","2016"
"경기도 가평군 조종면 현리","일반","2**","현창로44번길","일반상업","제1종근린생활","8m미만","63.1","80.00","13,800","null","201902","20"," ","1961"
"경기도 가평군 조종면 현리","일반","2**","-","일반상업","제2종근린생활","8m미만","213.4","99.19","16,000","null","201909","30"," ","1980"
"경기도 가평군 청평면 고성리","일반","6**","호반로","계획관리","제2종근린생활","12m미만","294.39","1342.00","71,529","null","201910","10"," ","2014"
"경기도 가평군 청평면 대성리","일반","3**","경춘로","계획관리","제1종근린생활","25m미만","194.37","558.00","65,500","null","201908","19"," ","2016"
"경기도 가평군 청평면 대성리","일반","3**","경춘로","계획관리","제2종근린생활","25m미만","58.22","168.00","18,800","null","201908","19"," ","2016"
