zip,violent crime,property crime
01631,,
01632,,
01633,,
01634,,
01635,,
01636,,
01637,,
01638,,
01639,,
01640,,
01641,,
01642,,
01643,,
01644,,
01645,,
01646,,
01647,,
01648,,
01649,,
01650,,
01651,,
01652,,
01653,,
01654,,
01655,,
01656,,
01657,,
01658,,
01659,,
01660,,
01661,,
01662,,
01663,,
01664,,
01665,,
01666,,
01667,,
01668,,
01669,,
01670,,
01671,,
01672,,
01673,,
01674,,
01675,,
01676,,
01677,,
01678,,
01679,,
01680,,
01681,,
01682,,
01683,,
01684,,
01685,,
01686,,
01687,,
01688,,
01689,,
01690,,
01691,,
01692,,
01693,,
01694,,
01695,,
01696,,
01697,,
01698,,
01699,,
01700,,
01701,15.2,18.3
01702,44.9,49.6
01703,,
01704,,
01705,,
01706,,
01707,,
01708,,
01709,,
01710,,
01711,,
01712,,
01713,,
01714,,
01715,,
01716,,
01717,,
01718,9.5,14.3
01719,13.6,17.4
01720,9.1,13.6
01721,11.4,16.2
01722,,
01723,,
01724,,
01725,,
01726,,
01727,,
01728,,
01729,,
01730,11.0,15.2
01731,22.9,32.1
01732,,
01733,,
01734,,
01735,,
01736,,
01737,,
01738,,
01739,,
01740,5.0,3.9
01741,5.0,2.7
01742,13.0,17.8
01743,,
01744,,
01745,5.0,3.7
01746,6.1,9.2
01747,14.4,17.7
01748,3.7,7.6
01749,18.9,24.5
01750,,
01751,,
01752,28.6,32.8
01753,,
01754,16.7,21.4
01755,,
01756,3.6,7.8
01757,25.7,31.0
01758,,
01759,,
01760,14.6,20.7
01761,,
01762,,
01763,,
01764,,
01765,,
01766,,
01767,,
01768,,
01769,,
01770,3.7,6.9
01771,,
01772,8.1,11.9
01773,3.5,8.4
01774,,
01775,5.8,8.8
01776,5.0,4.8
01777,,
01778,5.0,4.9
01779,,
01780,,
01781,,
01782,,
01783,,
01784,,
01785,,
01786,,
01787,,
01788,,
01789,,
01790,,
01791,,
01792,,
01793,,
01794,,
01795,,
01796,,
01797,,
01798,,
01799,,
01800,,
01801,25.1,31.0
01802,,
01803,16.4,23.1
01804,,
01805,,
01806,,
01807,,
01808,,
01809,,
01810,10.9,15.3
01811,,
01812,,
01813,,
01814,,
01815,,
01816,,
01817,,
01818,,
01819,,
01820,,
01821,16.6,20.7
01822,,
01823,,
01824,9.0,14.4
01825,,
01826,20.9,26.3
01827,3.6,6.8
01828,,
01829,,
01830,39.7,44.3
01831,,
01832,41.1,45.6
01833,10.2,14.6
01834,10.1,13.6
01835,28.6,32.9
01836,,
01837,,
01838,,
01839,,
01840,65.0,65.9
01841,65.4,66.4
01842,,
01843,62.5,64.5
01844,27.2,33.0
01845,15.4,21.0
01846,,
01847,,
01848,,
01849,,
01850,54.5,59.5
01851,52.7,57.8
01852,48.8,53.8
